gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout	mk_pval	alpha	mk_pval_fdr	dos	total_poly	total_div	SnIPRE.lbound	SnIPRE.ubound	SnIPRE.class	SnIPRE.est	SnIPRE.Rlbound	SnIPRE.Rubound	SnIPRE.tau	SnIPRE.theta	SnIPRE.Rclass	SnIPRE.Rest	SnIPRE.gamma	SnIPRE.f	SnIPRE.f.lb	SnIPRE.f.ub	SnIPRE.f.class
2KTGRL-LOC420808	5	3	1	1	92.73	185.46	15	1	1	0.4	1	0.125	2	8	-0.616542947711222	-0.0399962529476274	neg	-0.328269600329425	-1.54965508161837	0.599213247400114	20.608871658413	0.00221912135213338	neut	-0.475220917109128	-0.431680847457954	0.702435052938972	0.239872929807387	2.05698646988394	neut
44G24.1	1	2	0	0	11.22	22.44	15	1	1	NA	1	NA	0	3	-0.590494252367012	0.106770629279431	neut	-0.24186181154379	-2.70429014204926	0.71332027362415	16.8805649701957	0.00296615972373096	neut	-0.995484934212554	-0.326010392239204	0.369548099082514	0.0669160889807057	2.04077910261579	neut
A1CF	1	14	0	0	175.23	350.46	15	1	1	NA	1	NA	0	15	-0.460595012959735	0.0437453479055452	neut	-0.208424832527095	-3.37729248024272	-0.884413729590047	16.6795952888686	0.00273225036677085	neg	-2.13085310491638	-0.283055572187313	0.118734948139456	0.0341387946280707	0.412956046742412	neg
A2M	26	21	3	3	386.43	772.86	15	1	1	0.192307692307692	1	0.0531914893617021	6	47	-0.516459201380622	-0.101206205865281	neg	-0.308832703622951	-0.840638189502642	0.37754205652322	20.085819202274	0.0024015121708971	neut	-0.231548066489711	-0.408031465995824	0.890055071869497	0.484048432407271	1.63659930738088	neut
A2ML1	22	15	3	6	418.44	836.88	15	1	0.263929490815481	0.659090909090909	1	0.261261261261261	9	37	-0.51259468357407	-0.103746712810792	neg	-0.308170698192431	-1.07783407064353	0.161162610413941	19.6071761422238	0.00241211412277781	neut	-0.458335730114795	-0.407543399757957	0.70934196718152	0.381770534902774	1.31797707359101	neut
A2ML2	12	11	2	0	443.52	887.04	15	1	0.486666666666667	-Inf	1	-0.478260869565217	2	23	-0.798730607941947	-0.31773001532188	neg	-0.558230311631914	-1.0922455441381	0.475123190829159	38.2174339668927	0.000783141566746794	neut	-0.308561176654471	-0.691747286003284	0.896771226959224	0.409574657652239	1.96348348104632	neut
A2ML4	13	37	0	1	269.28	538.56	15	1	1	1	1	0.26	1	50	-0.248300543216466	0.14207144009441	neut	-0.0531145515610282	-1.96369954125462	-0.596775223454533	11.0863201752745	0.00597988065000932	neg	-1.28023738235458	-0.0760902931129131	0.277964285342354	0.140335518903614	0.550568125654853	neg
A4GALT	2	8	0	0	101.97	203.94	15	1	1	NA	1	NA	0	10	-0.535358575302674	0.0288430351514831	neut	-0.253257770075595	-2.73626992416947	-0.204239644267215	18.0920410574493	0.00253262299194624	neg	-1.47025478421834	-0.339674473239773	0.229865744899627	0.0648102880298692	0.815266718970842	neg
A4GNT	5	7	0	3	99.33	198.66	15	1	0.505494505494505	1	1	0.416666666666667	3	12	-0.384030923535499	0.12991718038955	neut	-0.127056871572974	-2.24406486270147	-0.156437750172394	12.4581902668301	0.00481266851734147	neg	-1.20025130643693	-0.177914048983476	0.301117686358868	0.106026563216161	0.855183937115346	neg
AACS	0	11	0	2	176.55	353.1	15	1	1	NA	1	0	2	11	-0.404498357072201	0.0899770417057169	neut	-0.157260657683242	-3.99925275709369	-1.28735278357773	14.6537963836919	0.0032046979659147	neg	-2.64330277033571	-0.217106740996339	0.0711249953352942	0.0183292215109521	0.275992265105544	neg
AADAC	13	18	4	6	118.8	237.6	15	1	1	0.0769230769230769	1	0.0193548387096774	10	31	-0.127679686792728	0.27875072783058	neut	0.0755355205189262	-1.52974037408744	-0.175227755860103	6.74976177832068	0.0132509937246027	neg	-0.852484064973773	0.115420902416689	0.426354148822184	0.216591598757026	0.839265375946574	neg
AADACL4L1	6	2	3	0	82.17	164.34	15	1	1	-Inf	1	-0.25	3	8	-0.690317690608987	-0.0974065887860794	neg	-0.393862139697533	-0.864255596410387	1.1594617602573	23.2246826454176	0.00191249963807188	neut	0.147603081923457	-0.509355604736564	1.33986868301587	0.487093837475169	3.68557052126658	neut
AADACL4L2	5	6	3	1	117.15	234.3	15	1	0.569230769230769	-2.6	1	-0.295454545454545	4	11	-0.535260798075387	-0.00417002314608217	neg	-0.269715410610735	-1.5218895098537	0.396746950295481	17.1907425700453	0.00297161988096196	neut	-0.562571279779111	-0.361207563234949	0.630550424003398	0.241595549184883	1.64568468450546	neut
AADACL4L3	6	3	3	0	119.13	238.26	15	1	0.509090909090909	-Inf	1	-0.333333333333333	3	9	-0.704095829578943	-0.134453170237804	neg	-0.419274499908373	-1.04361771480165	0.913325449522462	25.1872850008171	0.00163147446074715	neut	-0.0651461326395935	-0.538314861542947	1.09249285223684	0.410640432921352	2.90637307108445	neut
AADACL4L5	4	7	1	2	125.73	251.46	15	1	1	0.125	1	0.0303030303030303	3	11	-0.470592198475443	0.0470891711774906	neut	-0.211751513648976	-2.1881376016422	-0.10665063501125	15.5073301902433	0.00335591836372245	neg	-1.14739411832673	-0.288217308901594	0.317462747241968	0.112125025234505	0.898836701617818	neg
AADAT	1	5	0	0	131.67	263.34	15	1	1	NA	1	NA	0	6	-0.655632710909707	-0.0766291445669914	neg	-0.366130927738349	-3.03855749063484	-0.302097884708511	24.7426846058	0.00145598492539661	neg	-1.67032768767167	-0.475198227353559	0.215352238085307	0.0548194193136916	0.845988077275225	neg
AAED1	0	2	0	0	48.84	97.68	15	1	1	NA	1	NA	0	2	-0.644243398467078	0.00511502790086371	neut	-0.319564185283107	-3.43838286456338	-0.163944235504918	21.8475866558843	0.0017745101664462	neg	-1.80116355003415	-0.420136266917978	0.165106608465704	0.0321159497414966	0.8487886978769	neg
AAGAB	2	7	1	2	85.8	171.6	15	1	1	-0.75	1	-0.111111111111111	3	9	-0.385505097866379	0.146233877307247	neut	-0.119635610279566	-2.68244492090087	-0.329411892907955	12.168210094556	0.00483858471205413	neg	-1.50592840690441	-0.16799887539167	0.221810722042747	0.068393771285001	0.719375490726208	neg
AAK1	8	12	2	0	448.14	896.28	15	1	0.194805194805195	-Inf	1	-0.6	2	20	-0.762015850920055	-0.285645191350779	neg	-0.523830521135417	-1.5297836991034	0.137002194854459	35.3632167859741	0.000861778589119707	neut	-0.696390752124469	-0.654174561100859	0.601632181911954	0.261447610043699	1.38442727916111	neut
AAMDC	1	1	0	1	45.87	91.74	15	1	1	1	1	0.5	1	2	-0.592648375384083	0.0458458957614434	neut	-0.27340123981132	-2.96868137727536	0.0791496393152225	18.7792736961418	0.00236666260648194	neut	-1.44476586898007	-0.364679282483244	0.235799469435443	0.0513966985217002	1.08233684766071	neut
