goID	pVal_enrich	subontology	goTerm
GO:0007417	0.01998002	BP	central nervous system development
GO:0018193	0.016983017	BP	peptidyl-amino acid modification
GO:0022607	0.001998002	BP	cellular component assembly
GO:0030154	0.035964036	BP	cell differentiation
GO:0043933	0.011988012	BP	protein-containing complex subunit organization
GO:0044085	0.004995005	BP	NA
GO:0048468	0.01998002	BP	cell development
GO:0048869	0.02997003	BP	cellular developmental process
GO:0051130	0.031968032	BP	positive regulation of cellular component organization
GO:0060429	0.038961039	BP	epithelium development
GO:0070848	0.037962038	BP	response to growth factor
GO:0071495	0.017982018	BP	NA
GO:0012505	0.01998002	CC	endomembrane system
GO:0016020	0.02497502	CC	membrane
GO:0030054	0.01698302	CC	cell junction
GO:0031224	0.04095904	CC	intrinsic component of membrane
GO:0032991	0.03196803	CC	protein-containing complex
GO:0038023	0.02897103	MF	signaling receptor activity
GO:0060089	0.02897103	MF	NA
