gene	FR	FS	PR	PS	Tsil	Trepl	npop	nout	mk_pval	alpha	mk_pval_fdr	dos	total_poly	total_div	SnIPRE.lbound	SnIPRE.ubound	SnIPRE.class	SnIPRE.est	SnIPRE.Rlbound	SnIPRE.Rubound	SnIPRE.tau	SnIPRE.theta	SnIPRE.Rclass	SnIPRE.Rest	SnIPRE.gamma	SnIPRE.f	SnIPRE.f.lb	SnIPRE.f.ub	SnIPRE.f.class
2KTGRL-LOC420808	7	4	5	4	325.71	651.42	15	1	1	0.285714285714286	1	0.0808080808080808	9	11	-0.838712047397772	0.26152294051112	neut	-0.288594553443326	-1.39977523360317	-0.0563005409099329	8.13968014823613	0.00319113572977393	neg	-0.728037887256552	-0.401172712441832	0.482850378501163	0.246649064440071	0.945247519333694	neg
44G24.1	11	12	0	4	124.74	249.48	15	1	0.122507122507122	1	1	0.478260869565217	4	23	-0.480244010870586	0.618339910441777	neut	0.0690479497855956	-1.37391701876895	-0.000543829107399807	12.6670407980338	0.00469695473607372	neg	-0.687230423938175	0.101151408357635	0.502958914284702	0.25310917408831	0.999440924249478	neg
A1CF	2	40	0	2	580.8	1161.6	15	1	1	1	1	0.0476190476190476	2	42	-1.61683152962432	-0.43883893634795	neg	-1.02783523298614	-2.7663779985767	-1.19189996576731	29.3950881703009	0.0017434209807821	neg	-1.97913898217201	-1.18930055495675	0.196191708100451	0.0892911265941983	0.431093916976886	neg
A2M	56	45	6	11	1295.58	2591.16	15	1	0.188532447641282	0.561688311688312	1	0.201514269073966	17	101	-0.480194720141389	0.463987300498489	neut	-0.00810370982145003	-1.09009982249429	-0.11485899324583	17.6228153073652	0.00199923602170316	neg	-0.602479407870059	-0.0114755607517027	0.547436900941812	0.336182830868005	0.891489400392102	neg
A2ML1	36	51	6	10	1441.44	2882.88	15	1	1	0.15	1	0.0387931034482759	16	87	-0.762652146397975	0.194558098417788	neut	-0.284047023990094	-1.34006861226264	-0.344237249346467	18.271311882029	0.00189037617529707	neg	-0.842152930804552	-0.37842535915604	0.430781576853787	0.261821813842945	0.708749691040206	neg
A2ML2	44	52	7	6	1409.1	2818.2	15	1	0.768408454897039	-0.378787878787879	1	-0.0801282051282051	13	96	-0.817032503736512	0.149264359665928	neut	-0.333884072035292	-1.06633765390709	-0.0521542867692649	25.0410052523717	0.00142039654057138	neg	-0.559245970338178	-0.435977906512041	0.57163303046642	0.344266406355799	0.949174432798464	neg
A2ML4	78	120	9	8	1443.75	2887.5	15	1	0.309487681974232	-0.730769230769231	1	-0.135472370766488	17	198	-0.805357682562304	0.11091224195183	neut	-0.347222720305237	-1.15508543935529	-0.223740502548965	35.7297066412893	0.00205145419076589	neg	-0.689412970952129	-0.448450190998226	0.50186254440103	0.31503036255607	0.799522363046583	neg
A4GALT	9	19	0	0	357.39	714.78	15	1	1	NA	1	NA	0	28	-1.08253217758443	0.0283594187083805	neut	-0.527086379438024	-1.51275558552692	-0.112989154110496	38.4657937964171	0.00108480562233035	neg	-0.812872369818707	-0.656745469957946	0.443581015015993	0.220301618741364	0.893157798234052	neg
A4GNT	7	13	1	6	385.11	770.22	15	1	0.633363737711564	0.69047619047619	1	0.207142857142857	7	20	-0.909313078594788	0.199042541172043	neut	-0.355135268711372	-1.9412081104037	-0.575506175773303	10.8060299432993	0.00320243494717068	neg	-1.2583571430885	-0.478226721902332	0.284116381718104	0.143528903503008	0.562409618082723	neg
AAAS	3	7	1	3	239.58	479.16	15	1	1	0.222222222222222	1	0.05	4	10	-1.11506760989523	0.0844942154613236	neut	-0.515286697216953	-2.11573117331607	-0.473822615474012	11.8911176317638	0.00271338903065515	neg	-1.29477689439504	-0.670223976769105	0.273951097598283	0.120543866876577	0.622616996774826	neg
